distance_km,driver_experience_years,restaurant_rating,order_items,preparation_time_min,weather,traffic_level,time_of_day,vehicle_type,delivery_area,day_of_week,delivery_time_min
15.23,,4.6,6,10.1,Clear,Medium,Evening,Car,Rural,Sunday,66.5
3.83,5.6,4.5,3,17.7,Cloudy,High,Afternoon,Car,Rural,Tuesday,49.8
0.5,4.1,5.0,5,17.1,Clear,Medium,Night,Bike,Urban,Thursday,22.7
10.05,5.2,3.1,8,28.9,Clear,Medium,Night,Scooter,Rural,Wednesday,63.1
3.6,1.7,4.3,6,10.6,Cloudy,Low,Evening,Car,Suburban,Wednesday,29.2
9.96,3.4,3.2,5,12.2,Cloudy,Medium,Morning,Bicycle,Rural,Wednesday,62.0
4.36,2.6,4.1,3,23.0,Fog,High,Afternoon,Scooter,Urban,Wednesday,59.9
5.95,3.8,4.0,2,23.5,Cloudy,High,Morning,Bike,Urban,Friday,58.1
9.89,4.5,3.7,3,19.3,Clear,High,Morning,Scooter,Rural,Thursday,75.3
2.87,3.1,3.9,7,17.3,Cloudy,Medium,Evening,Scooter,Urban,Thursday,32.4
,5.0,4.0,3,21.2,Clear,High,Evening,Bike,Urban,Thursday,48.4
6.6,3.4,,3,12.9,Cloudy,Low,Night,Bicycle,Urban,Wednesday,37.7
6.91,2.0,3.7,4,6.2,Rain,Low,Afternoon,Bike,Urban,Saturday,34.6
4.98,2.9,3.8,6,26.3,Clear,High,Afternoon,Car,Urban,Thursday,57.5
4.31,3.2,4.3,3,12.5,Clear,Low,Afternoon,Scooter,Rural,Thursday,24.1
9.02,2.2,4.4,4,36.3,Rain,Low,Morning,,Rural,Tuesday,78.2
4.58,6.1,5.0,5,10.8,Cloudy,Medium,Morning,Scooter,Rural,Monday,34.9
7.14,3.8,4.2,1,21.9,Cloudy,Medium,Afternoon,Scooter,Urban,Saturday,48.5
6.52,0.5,4.4,3,16.1,Rain,Medium,Morning,Car,Urban,Saturday,55.2
1.88,1.3,4.0,2,21.3,Cloudy,High,Evening,Scooter,Urban,Tuesday,51.8
5.82,14.1,4.6,3,11.1,Clear,Low,Afternoon,Bike,Urban,Wednesday,22.6
4.1,4.9,3.8,4,33.7,Rain,High,Evening,Bicycle,Urban,Wednesday,71.5
2.18,1.2,4.1,2,29.1,Fog,Medium,Evening,Scooter,Suburban,Friday,45.3
11.9,2.6,4.2,6,15.1,Clear,Low,Afternoon,Bike,Rural,Tuesday,
9.98,9.7,4.3,5,14.8,Clear,Medium,Evening,Car,Urban,Sunday,48.2
2.78,1.7,4.5,5,18.0,Rain,Medium,Evening,Bike,Urban,Monday,46.1
5.03,1.0,4.0,5,11.9,Cloudy,Low,Afternoon,Bike,Urban,Sunday,29.9
1.77,8.5,4.5,4,11.8,Clear,Medium,Afternoon,Scooter,Urban,Monday,17.8
2.35,3.3,,3,22.5,Cloudy,High,Evening,Scooter,Urban,Wednesday,44.9
3.94,2.9,4.2,3,5.5,Rain,High,Morning,Scooter,Urban,Tuesday,49.4
2.1,1.6,3.4,5,12.0,Cloudy,Medium,Morning,Bicycle,Urban,Tuesday,42.9
1.99,1.1,4.0,3,27.4,,High,Morning,Bike,Urban,Sunday,49.5
1.55,2.9,5.0,3,25.6,Clear,Medium,Evening,Bicycle,Suburban,Thursday,40.0
8.59,4.1,4.2,7,17.4,Clear,High,Evening,Bike,Urban,Monday,64.9
6.69,6.0,3.9,6,9.6,Fog,High,Evening,Bike,Urban,Sunday,57.0
3.86,4.7,4.3,4,25.6,Cloudy,High,Evening,Bike,Urban,Tuesday,53.8
7.0,2.6,4.1,4,12.9,Clear,Low,Afternoon,Bike,Urban,Monday,35.3
7.37,9.4,3.7,7,23.8,Fog,High,Evening,Scooter,Urban,Monday,76.2
3.42,2.0,3.4,7,21.5,Clear,Medium,Morning,Car,Suburban,Thursday,40.9
7.3,1.6,4.1,6,23.0,Cloudy,High,Morning,Car,Rural,Sunday,74.1
5.06,9.1,4.0,1,17.7,Clear,High,Evening,Car,Suburban,Monday,46.7
8.64,5.8,4.0,6,22.2,Rain,Medium,Afternoon,Bike,Urban,Friday,53.2
6.32,3.6,4.4,3,11.2,Rain,High,Evening,Car,Urban,Tuesday,60.3
9.7,5.9,4.6,7,19.5,Rain,Medium,Evening,Bike,Urban,Tuesday,54.4
7.31,9.4,4.4,6,22.1,Clear,Medium,Evening,Car,Urban,Friday,45.2
16.31,6.4,4.0,6,20.8,Clear,Medium,Evening,Car,Rural,Saturday,70.7
5.27,2.2,4.2,5,15.2,Clear,Medium,Evening,Bike,Urban,Thursday,45.4
3.15,3.7,4.5,4,5.8,Storm,High,Afternoon,,Urban,Tuesday,54.0
6.61,3.1,4.5,4,10.9,Clear,Medium,Morning,Bicycle,Urban,Monday,44.6
8.87,4.7,4.3,3,7.0,Cloudy,Medium,Afternoon,Bike,Urban,Saturday,39.8
8.46,5.9,3.9,1,16.9,Rain,Medium,Morning,Scooter,Rural,Friday,52.9
7.41,1.1,4.5,5,13.2,Clear,Medium,Afternoon,Bicycle,Urban,Thursday,43.1
2.9,10.8,4.7,2,8.0,Clear,Medium,Evening,Bike,Urban,Tuesday,23.3
7.28,10.7,4.5,4,12.8,Clear,Medium,Morning,Bike,Urban,Saturday,34.4
17.83,1.0,5.0,2,11.5,Cloudy,Medium,Morning,Scooter,Suburban,Monday,60.7
2.93,5.5,4.4,3,13.8,Storm,Medium,Afternoon,Car,Urban,Friday,40.3
4.84,6.0,4.6,5,18.3,Clear,High,Afternoon,Scooter,Suburban,Friday,45.4
6.06,1.6,4.4,5,16.9,Storm,Medium,Evening,Scooter,Urban,Tuesday,54.1
3.72,3.6,4.1,3,17.3,Clear,Medium,Evening,Bike,Urban,Thursday,34.3
3.07,2.3,3.7,4,19.1,Clear,Medium,Evening,,Suburban,Thursday,44.7
4.21,4.0,3.9,4,6.6,Fog,High,Evening,Car,Urban,Friday,53.9
8.13,3.2,3.9,2,29.4,Rain,High,Afternoon,Scooter,Urban,Sunday,74.7
1.1,3.6,3.7,2,16.1,Clear,Medium,Evening,Bicycle,Urban,Thursday,37.8
2.04,1.8,4.0,3,30.6,Cloudy,High,Morning,Scooter,Urban,Monday,56.1
3.64,1.7,4.2,6,13.2,Fog,High,Morning,Bicycle,Urban,Wednesday,55.0
7.55,3.8,4.6,4,45.0,Rain,Medium,Morning,Bike,Suburban,Friday,82.0
4.19,5.5,3.7,6,13.4,Cloudy,High,Evening,Bike,Urban,Wednesday,43.9
,6.9,4.5,4,10.5,Clear,Medium,Afternoon,,Urban,Saturday,24.4
10.33,4.9,4.3,2,10.2,Clear,High,Morning,Bike,Urban,Tuesday,65.2
4.75,7.4,,4,11.6,Cloudy,Medium,Afternoon,Bike,Suburban,Tuesday,23.3
3.03,6.6,4.1,8,14.5,Cloudy,Medium,Morning,Car,Urban,Tuesday,34.6
5.99,2.9,4.9,5,13.7,Clear,High,Evening,Scooter,Urban,Sunday,51.0
5.8,8.5,3.9,7,18.7,Clear,Low,Afternoon,Bike,Suburban,Friday,27.6
4.84,,3.9,5,12.1,Clear,Medium,Afternoon,Bike,Suburban,Thursday,29.8
6.92,3.1,4.2,6,17.9,Cloudy,Low,Afternoon,Bike,Rural,Wednesday,41.2
7.45,4.7,4.3,4,13.5,Clear,High,Evening,Bike,Urban,Sunday,61.3
11.47,6.9,4.2,7,10.6,Clear,High,Afternoon,Bike,Urban,Sunday,69.4
5.38,2.0,4.1,7,18.1,Clear,High,Morning,Scooter,Urban,Wednesday,50.1
1.26,3.3,4.4,4,7.1,Rain,High,Morning,Car,Suburban,Saturday,37.0
15.1,2.9,4.4,4,11.0,Cloudy,Low,Night,Bike,Urban,Sunday,47.8
5.96,1.6,4.1,8,15.0,Clear,Medium,Night,Bike,Urban,Wednesday,36.1
1.85,2.0,4.8,5,20.1,Clear,High,Evening,Scooter,Urban,Wednesday,46.3
7.21,1.6,4.3,6,27.0,Clear,Medium,Afternoon,Bike,Suburban,Thursday,45.0
8.67,4.5,4.0,5,10.8,Cloudy,Medium,Night,Bike,Suburban,Wednesday,42.5
4.3,2.8,4.6,6,8.5,Cloudy,Medium,Evening,Bike,Urban,Saturday,31.0
5.75,2.5,3.4,8,16.8,Cloudy,Medium,Evening,Scooter,Rural,Thursday,48.6
10.09,4.2,3.7,9,17.8,Rain,High,Afternoon,Bike,Rural,Tuesday,77.6
1.81,4.3,4.1,4,20.6,Clear,Medium,Afternoon,Scooter,Urban,Wednesday,35.6
6.09,6.6,3.7,5,34.3,Clear,High,Morning,Scooter,Urban,Friday,61.8
2.49,0.6,4.5,9,20.0,Clear,Low,Night,Car,Suburban,Monday,26.8
5.63,5.8,4.4,4,32.7,Cloudy,Medium,Afternoon,Car,Urban,Wednesday,60.2
3.11,1.5,4.8,2,11.3,Clear,Medium,Morning,Bicycle,Urban,Monday,36.7
5.16,4.0,3.9,3,20.6,Rain,Low,Afternoon,Scooter,Urban,Saturday,41.8
11.37,1.4,4.4,4,13.4,Clear,High,Evening,Bike,Rural,Monday,74.6
7.48,4.9,4.6,2,23.9,Cloudy,High,Morning,Bike,Urban,Monday,64.4
2.24,2.2,4.2,7,12.5,Clear,Medium,Evening,Bike,Suburban,Saturday,33.9
3.39,4.4,4.5,7,21.1,Clear,High,Evening,Bike,Urban,Monday,47.5
3.51,1.9,4.1,6,,Rain,High,Evening,Bike,Urban,Friday,66.4
4.94,0.8,4.6,2,10.2,Clear,Medium,Afternoon,Bike,Suburban,Wednesday,30.2
9.06,2.0,3.9,3,18.6,Clear,High,Evening,Scooter,Urban,Saturday,73.1
3.81,4.3,3.6,4,9.5,Clear,High,Evening,Scooter,Urban,Tuesday,43.3
5.7,2.7,4.0,2,27.1,Rain,Medium,Evening,Bike,Urban,Monday,56.5
3.68,5.3,4.1,3,15.3,Clear,Medium,Morning,Scooter,Suburban,Tuesday,34.1
2.51,3.0,4.3,4,14.6,Fog,High,Afternoon,Bike,Urban,Sunday,55.6
1.18,3.9,4.3,7,24.4,Storm,High,Morning,Scooter,Urban,Saturday,62.3
2.97,1.0,3.9,4,19.2,Rain,Low,Afternoon,Scooter,Urban,Wednesday,32.5
1.59,4.3,3.8,8,17.4,Clear,Medium,Afternoon,Bike,Urban,Tuesday,32.0
1.67,5.7,4.8,4,24.7,Cloudy,High,Morning,Bike,Urban,Tuesday,50.7
5.23,0.6,4.1,4,9.5,Clear,High,Morning,Bicycle,Urban,Tuesday,49.6
5.65,1.2,4.0,2,18.2,Rain,,Evening,Scooter,Urban,Tuesday,52.8
7.69,9.3,4.3,4,8.1,Cloudy,High,Morning,Scooter,Urban,Sunday,51.1
0.76,3.8,3.8,5,11.3,Clear,Low,Night,Bike,Suburban,Monday,15.9
6.87,2.8,3.9,3,19.0,,High,Evening,Bike,Suburban,Sunday,52.8
0.5,2.5,4.5,5,12.1,Rain,High,Afternoon,Bike,Urban,Monday,29.3
2.52,0.3,3.8,5,23.0,Rain,High,Evening,Bicycle,Urban,Saturday,60.7
3.69,,3.6,5,25.9,Cloudy,High,Morning,Bike,Urban,Thursday,56.3
9.29,2.6,4.0,5,16.4,Cloudy,Low,Night,Bike,Rural,Monday,45.4
4.1,3.4,4.2,5,27.3,Rain,Medium,Afternoon,Bicycle,Urban,Saturday,59.5
4.72,5.7,4.7,1,11.1,Rain,Medium,Evening,Scooter,Urban,Tuesday,33.0
0.5,3.0,4.3,4,25.0,Rain,Medium,Morning,Bike,Urban,Sunday,42.5
5.77,6.4,4.3,2,16.1,Clear,High,Afternoon,Scooter,Urban,Saturday,44.7
2.82,0.8,3.8,3,18.2,Cloudy,Medium,Afternoon,Scooter,Urban,Sunday,35.1
6.71,4.1,4.2,6,17.1,Rain,Low,Night,Bicycle,Urban,Saturday,45.7
6.87,2.2,3.7,3,16.5,Clear,Medium,Evening,Bike,Suburban,Tuesday,41.8
4.42,4.2,4.5,2,11.2,Clear,Medium,Afternoon,Car,Suburban,Wednesday,29.2
7.47,2.7,4.2,5,34.6,Clear,,Afternoon,Bike,Suburban,Friday,49.8
2.07,6.7,4.1,3,14.9,Clear,Medium,Afternoon,Car,Suburban,Wednesday,29.5
2.55,5.1,4.3,7,8.5,Rain,Low,Afternoon,Car,Urban,Thursday,28.8
6.69,2.3,4.0,2,10.4,Clear,Medium,Afternoon,Car,Rural,Tuesday,41.3
5.91,2.1,4.0,2,18.1,Cloudy,High,Morning,Car,Suburban,Friday,55.5
4.15,4.1,3.8,1,14.1,Clear,High,Evening,Scooter,Suburban,Wednesday,41.7
3.66,2.9,4.8,3,19.2,Fog,Low,Night,Bike,Suburban,Monday,37.4
3.49,3.7,4.1,2,20.2,Rain,Medium,Morning,Bike,Urban,Sunday,42.4
3.13,4.6,4.0,5,41.4,Cloudy,High,Evening,Bike,Urban,Saturday,77.4
1.68,5.8,4.4,3,19.9,Rain,High,Morning,Scooter,Urban,Wednesday,44.0
1.4,2.6,4.2,4,19.0,Clear,High,Evening,Bike,Urban,Monday,40.3
11.53,1.7,3.3,6,21.6,Rain,High,Afternoon,Car,Urban,Saturday,87.1
5.54,6.7,4.9,2,24.8,Rain,High,Evening,Car,Urban,Tuesday,62.4
3.59,5.7,4.0,6,19.7,Clear,High,Evening,Bicycle,Urban,Friday,47.8
7.81,4.3,3.8,4,17.5,Storm,High,Evening,Bike,Rural,Saturday,82.9
5.13,4.8,4.1,1,17.1,Clear,High,Morning,Car,Suburban,Tuesday,48.0
8.44,3.1,4.0,4,12.7,Cloudy,Low,Night,Car,Urban,Wednesday,40.5
4.5,4.7,4.0,5,25.2,Clear,High,Morning,Bicycle,Urban,Monday,54.1
14.26,7.4,4.2,2,15.5,Rain,Medium,Morning,Car,Urban,Wednesday,67.1
10.68,1.5,3.4,4,18.7,Clear,High,Evening,Bike,Rural,Friday,84.8
2.83,1.8,4.4,7,10.8,Clear,Medium,Afternoon,Bike,Suburban,Tuesday,22.8
1.37,5.1,4.5,6,11.4,Cloudy,Low,Evening,Bicycle,Suburban,Sunday,27.0
8.16,0.5,3.5,7,28.6,Storm,High,Evening,Scooter,Urban,Friday,96.1
1.88,7.7,4.3,7,11.0,Clear,Low,Afternoon,Car,Urban,Tuesday,18.9
6.73,8.7,3.8,5,19.2,Cloudy,High,Night,Car,Suburban,Thursday,51.6
9.46,1.7,4.0,2,15.1,Cloudy,Medium,Afternoon,Car,Rural,Wednesday,55.3
1.12,1.7,4.3,3,11.6,Rain,High,Afternoon,Car,Urban,Wednesday,42.7
5.05,0.3,4.5,3,16.4,Clear,High,Afternoon,Bicycle,Urban,Thursday,50.9
5.71,1.7,4.3,3,11.0,Cloudy,High,Night,Car,Urban,Monday,46.5
3.16,3.2,3.6,2,12.0,Fog,Medium,Morning,Bike,Urban,Tuesday,41.2
10.0,0.8,4.2,6,17.1,,High,Morning,Bike,Rural,Tuesday,73.8
3.3,6.1,4.3,6,36.9,Clear,Low,Afternoon,Bike,Suburban,Tuesday,42.6
8.03,5.8,3.9,2,12.8,Fog,High,Night,Scooter,Urban,Friday,66.1
2.9,3.8,3.8,2,20.7,Clear,High,Night,Car,Urban,Sunday,44.2
0.81,2.2,4.1,4,43.7,Clear,High,Evening,Car,Urban,Friday,68.7
4.16,2.0,4.4,7,29.0,Clear,Medium,Night,Bike,Urban,Sunday,51.3
0.71,4.9,3.9,3,8.3,Rain,Low,Night,Bike,Urban,Friday,15.6
4.94,6.9,4.2,4,11.2,Fog,Low,Afternoon,Scooter,Suburban,Wednesday,28.9
1.76,2.2,3.7,4,26.4,Cloudy,Medium,Afternoon,Car,Suburban,Sunday,35.1
3.45,7.1,4.3,8,,Cloudy,Medium,Evening,,Urban,Monday,33.9
1.78,4.3,3.5,4,8.7,Clear,High,Evening,Bike,Suburban,Monday,32.9
,7.2,4.3,5,27.1,Clear,Low,Afternoon,Bike,Suburban,Sunday,52.0
5.18,2.6,4.5,3,19.3,Clear,High,Morning,Scooter,Urban,Friday,49.0
1.7,1.2,4.1,2,5.0,Clear,High,Evening,Scooter,Suburban,Sunday,38.2
4.47,7.2,4.4,5,13.4,Clear,Medium,Afternoon,Car,Suburban,Monday,26.5
1.44,2.0,4.2,5,17.5,Cloudy,Medium,Night,Bicycle,Suburban,Saturday,37.2
3.42,6.2,3.6,4,13.9,Clear,Medium,Afternoon,Bike,Urban,Tuesday,22.3
8.43,0.5,3.7,4,21.5,Clear,High,Morning,Bike,Urban,Wednesday,70.0
5.24,3.4,4.0,4,26.1,Clear,High,Evening,Bike,Urban,Sunday,59.5
1.88,4.4,4.1,4,14.3,Clear,High,Morning,Bike,Urban,Wednesday,38.5
1.23,3.8,3.9,3,9.4,Clear,Medium,Morning,Bike,Urban,Friday,24.2
5.74,3.8,3.7,5,12.6,Clear,Low,Evening,Bike,Suburban,Sunday,34.3
11.04,3.1,3.1,4,,Clear,Medium,Evening,Bike,Urban,Sunday,57.0
3.56,2.9,4.8,7,27.7,Cloudy,High,Morning,Car,Urban,Monday,61.6
14.85,4.1,4.8,5,7.5,Rain,Medium,Afternoon,Bike,Rural,Tuesday,59.3
5.31,6.8,3.8,5,45.2,Rain,Medium,Evening,,Urban,Sunday,77.8
5.68,2.0,3.6,4,16.0,,Low,Night,Bike,Urban,Friday,39.9
1.41,5.1,4.7,6,30.1,Cloudy,,Afternoon,Bike,Urban,Thursday,39.7
3.4,1.3,,2,15.1,,Medium,Morning,Bike,Urban,Monday,37.2
3.58,4.6,4.5,4,9.1,Cloudy,High,Morning,Bike,Urban,Monday,44.8
0.5,2.3,4.4,4,18.0,Cloudy,Medium,Morning,Bike,Suburban,Sunday,28.8
,1.8,4.0,5,35.6,Clear,Medium,Morning,Car,Urban,Thursday,57.2
2.57,4.0,4.7,3,18.1,Clear,High,Evening,Car,Urban,Saturday,47.5
1.84,7.5,3.9,2,20.6,Clear,High,Morning,Bike,Urban,Tuesday,42.0
3.3,1.6,4.5,4,8.7,Clear,Medium,Afternoon,Bike,Suburban,Tuesday,27.0
6.51,1.4,4.1,3,17.5,Rain,High,Evening,Bike,Urban,Friday,63.7
6.64,3.3,3.7,2,12.3,Clear,Medium,Evening,Car,Suburban,Sunday,42.7
9.13,1.9,4.9,5,20.6,,Medium,Morning,Bike,Urban,Wednesday,50.4
7.27,3.4,3.9,4,10.4,Rain,Low,Evening,Bike,Suburban,Wednesday,38.5
4.72,2.6,4.0,4,32.1,Cloudy,Medium,Evening,Car,Urban,Thursday,61.6
9.32,1.4,4.5,2,,Clear,High,Evening,Car,Urban,Monday,71.5
2.72,2.1,4.6,4,19.5,Clear,High,Morning,Scooter,Urban,Wednesday,40.2
3.83,6.2,3.6,5,28.4,Clear,High,Morning,Bike,Suburban,Thursday,56.6
11.58,2.8,4.7,4,19.1,Storm,Low,Night,Bike,Urban,Monday,58.0
2.66,3.2,4.1,2,7.5,Rain,Medium,Afternoon,Bike,Urban,Friday,31.6
0.5,1.8,4.1,5,8.4,Rain,High,Afternoon,Scooter,Urban,Monday,30.2
1.26,4.0,4.1,5,40.5,Cloudy,Medium,Afternoon,Car,Urban,Friday,59.9
3.54,5.2,4.1,7,21.5,Rain,High,Evening,Bike,Urban,Saturday,54.2
1.83,3.6,3.6,6,17.3,Rain,Medium,Night,Car,Urban,Saturday,36.8
1.14,2.7,4.3,4,15.0,Clear,Low,Afternoon,Scooter,Urban,Friday,21.8
6.75,5.8,4.2,5,13.4,Clear,Medium,Night,Car,Urban,Friday,35.8
5.31,3.3,4.0,3,19.1,Clear,High,Morning,Bike,Urban,Wednesday,47.8
0.52,6.7,4.2,4,17.1,Cloudy,High,Evening,Bike,Urban,Thursday,39.0
7.66,4.8,,6,17.2,Rain,High,Evening,Bike,Urban,Monday,65.6
13.54,2.6,4.1,5,12.1,Cloudy,High,Morning,,Urban,Friday,82.1
5.42,1.0,4.3,3,16.6,Cloudy,High,Morning,Bike,Rural,Monday,57.4
5.38,4.8,4.1,7,18.0,Fog,High,Afternoon,Bike,Urban,Wednesday,62.4
1.65,6.7,3.9,3,19.9,Clear,Medium,Night,Car,Suburban,Thursday,32.4
4.32,1.6,,4,13.8,Clear,High,Evening,Car,Urban,Friday,49.8
5.5,3.1,3.7,5,13.2,Fog,Medium,Night,Scooter,Urban,Wednesday,43.2
3.55,4.8,4.5,4,12.6,Fog,High,Evening,Scooter,Urban,Thursday,55.5
2.05,2.7,4.0,5,11.7,Rain,Medium,Afternoon,Scooter,Urban,Friday,28.6
2.64,3.4,4.5,6,10.3,Clear,Medium,Evening,,Suburban,Sunday,25.5
0.67,8.4,4.7,4,14.6,Storm,High,Morning,Bike,Suburban,Friday,49.5
3.99,4.0,4.1,2,8.1,Rain,High,Morning,Bike,Urban,Tuesday,39.9
10.43,1.9,4.5,3,26.5,Cloudy,Medium,Evening,Scooter,Suburban,Saturday,56.1
1.25,3.3,4.4,4,21.2,Clear,Medium,Evening,Bike,Urban,Monday,29.5
9.09,3.4,4.2,5,13.4,Cloudy,Medium,Morning,Scooter,Urban,Tuesday,50.1
3.1,1.6,4.4,4,18.8,Rain,Low,Afternoon,Scooter,Suburban,Monday,34.5
0.66,10.4,4.0,3,20.6,Rain,Medium,Evening,Bike,Urban,Thursday,36.8
6.81,,4.8,5,14.8,Cloudy,,Evening,Car,Urban,Friday,46.7
7.37,1.0,4.2,6,14.0,Cloudy,Medium,Evening,Scooter,Rural,Thursday,46.3
4.27,1.5,3.9,8,9.7,Rain,Low,Afternoon,Scooter,Rural,Saturday,33.3
2.14,1.0,4.0,5,23.8,Cloudy,Medium,Afternoon,Bicycle,Suburban,Friday,42.5
2.53,0.7,4.5,6,14.1,Clear,Low,Afternoon,Bike,Urban,Tuesday,26.7
3.42,8.4,3.8,5,31.5,Clear,High,Evening,Bike,Suburban,Thursday,51.8
4.31,5.0,,2,20.9,Clear,Medium,Evening,Bike,Urban,Saturday,43.1
4.42,6.0,4.6,3,,Rain,High,Afternoon,Scooter,Urban,Thursday,48.9
6.37,2.5,3.7,5,18.3,Clear,High,Afternoon,Bike,Urban,Thursday,55.2
9.64,6.9,4.4,7,15.0,Clear,High,Morning,Car,Rural,Thursday,66.7
11.46,4.8,3.8,4,17.1,Fog,Medium,Evening,Bike,Rural,Thursday,66.5
4.03,2.5,3.8,3,,Rain,High,Evening,Scooter,Suburban,Wednesday,49.3
0.5,4.5,4.0,4,9.8,Clear,Medium,Morning,Scooter,Urban,Saturday,29.0
1.3,1.1,3.9,7,13.5,Clear,High,Morning,Bike,Urban,Tuesday,38.0
1.64,4.1,4.4,3,13.7,Rain,High,Evening,,Urban,Monday,47.4
8.89,2.9,4.2,5,31.1,Clear,Medium,Morning,Scooter,Rural,Saturday,69.9
4.05,8.3,4.3,7,11.7,Cloudy,High,Evening,Car,Urban,Saturday,47.8
3.15,6.2,4.2,7,10.5,Cloudy,Medium,Afternoon,Scooter,Urban,Friday,24.4
5.41,1.1,3.9,3,9.9,Clear,Medium,Morning,Scooter,Suburban,Thursday,35.4
5.94,1.7,4.0,4,27.3,Rain,High,Night,Scooter,Urban,Sunday,61.7
3.39,10.6,,3,7.1,Clear,High,Morning,Scooter,Suburban,Wednesday,28.5
,2.5,4.0,2,15.1,Cloudy,High,Afternoon,Bike,Urban,Wednesday,55.1
3.03,1.1,4.7,7,11.7,Clear,Medium,Morning,Scooter,Suburban,Friday,
4.67,5.2,3.9,1,13.6,Clear,Medium,Morning,Bike,Urban,Thursday,35.5
0.5,7.6,4.2,6,27.4,Clear,High,Morning,Scooter,Urban,Thursday,46.8
3.43,2.8,4.3,5,16.0,Rain,High,Morning,Bike,Urban,Sunday,55.7
6.61,4.4,4.6,2,21.2,Clear,Medium,Morning,Bicycle,Urban,Tuesday,48.6
3.83,3.1,4.5,4,13.6,Clear,Medium,Morning,Bike,Suburban,Tuesday,32.7
1.57,5.2,4.3,4,9.2,Clear,High,Evening,Bike,Urban,Thursday,31.8
,1.8,4.2,3,27.0,Rain,High,Evening,Bike,Urban,Thursday,61.5
3.13,3.9,3.8,3,18.8,Cloudy,Medium,Afternoon,Bike,Suburban,Friday,36.5
4.8,6.1,4.1,4,18.8,Fog,High,Afternoon,Bike,Urban,Sunday,62.1
2.05,2.5,5.0,5,16.0,Cloudy,Medium,Afternoon,Scooter,Suburban,Friday,22.1
3.31,5.9,3.8,2,21.1,Cloudy,Medium,Evening,Bike,Suburban,Sunday,42.8
1.5,5.0,3.9,4,15.9,Cloudy,Medium,Evening,Bike,Urban,Tuesday,30.8
2.53,1.3,3.6,3,7.9,Clear,Medium,Morning,Bike,Suburban,Tuesday,28.5
4.21,1.9,3.9,5,,Fog,High,Morning,Bike,Urban,Wednesday,62.7
0.78,5.5,3.7,5,22.3,Fog,High,Morning,Bicycle,Urban,Saturday,62.8
3.43,1.9,3.7,4,19.3,Clear,Medium,Afternoon,Bike,Urban,Tuesday,34.5
1.25,0.4,4.3,4,8.5,Cloudy,Medium,Evening,Car,Suburban,Tuesday,29.1
2.97,3.7,4.4,5,9.0,Clear,Medium,Afternoon,Scooter,Urban,Wednesday,26.7
1.09,3.5,4.3,6,18.8,Cloudy,High,Morning,,Urban,Wednesday,40.1
15.75,5.3,3.8,2,,Rain,,Afternoon,Car,Rural,Friday,94.3
6.59,7.2,3.5,5,13.8,Fog,Low,Afternoon,,Urban,Sunday,36.8
9.57,3.5,3.4,5,25.5,Clear,High,Morning,Car,Rural,Monday,87.8
9.04,4.1,,5,16.8,Rain,High,Evening,Scooter,Suburban,Thursday,66.3
5.67,1.0,3.8,7,19.7,Rain,Medium,Morning,Bike,Rural,Monday,50.6
12.89,2.6,4.0,3,9.3,Clear,Low,Night,Car,Rural,Tuesday,49.5
10.18,12.4,4.2,8,22.7,Cloudy,High,Morning,Bike,Rural,Wednesday,72.9
2.18,4.7,4.0,2,13.1,Cloudy,High,Evening,Bicycle,Urban,Friday,50.4
